run_id,experiment_name,model,report_note,image_size,batch_size,num_workers,num_epochs_configured,epochs_ran,patience,min_delta,selection_metric,seed,val_size,use_stratified_split,device_mode,device_used,best_epoch,best_selection_score,best_val_loss_during_training,best_model_path,use_fundus_preprocessing,preprocessing_preset,preprocess_crop_threshold,preprocess_crop_padding,clahe_clip_limit,clahe_tile_grid_size,graham_blur_sigma,graham_blend_alpha,graham_blend_beta,graham_blend_gamma,sampling_strategy,use_weighted_sampler,use_augmentation,use_random_flip,use_random_rotation,use_color_jitter,use_random_resized_crop,use_random_erasing,random_rotation_degrees,random_resized_crop_scale,color_jitter_brightness,color_jitter_contrast,color_jitter_saturation,color_jitter_hue,random_erasing_p,loss_name,use_weighted_loss,focal_gamma,optimizer_name,learning_rate,weight_decay,momentum,use_lr_scheduler,lr_scheduler_factor,lr_scheduler_patience,min_lr,use_frozen_backbone,use_custom_classification_head,custom_head_hidden_dim,resnet_dropout,pretrained_weights,train_samples,val_samples,test_samples,elapsed_minutes,val_loss,val_accuracy,val_macro_f1,val_kappa,test_loss,test_accuracy,test_macro_f1,test_kappa,val_confusion_matrix_json,test_confusion_matrix_json,val_precision_class_0,val_recall_class_0,val_f1_class_0,val_support_class_0,val_precision_class_1,val_recall_class_1,val_f1_class_1,val_support_class_1,val_precision_class_2,val_recall_class_2,val_f1_class_2,val_support_class_2,val_precision_class_3,val_recall_class_3,val_f1_class_3,val_support_class_3,val_precision_class_4,val_recall_class_4,val_f1_class_4,val_support_class_4,val_macro_precision,val_macro_recall,val_weighted_precision,val_weighted_recall,val_weighted_f1,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_precision_class_2,test_recall_class_2,test_f1_class_2,test_support_class_2,test_precision_class_3,test_recall_class_3,test_f1_class_3,test_support_class_3,test_precision_class_4,test_recall_class_4,test_f1_class_4,test_support_class_4,test_macro_precision,test_macro_recall,test_weighted_precision,test_weighted_recall,test_weighted_f1,hyperparameter_source,model_dropout
R1,R1_resnet_none_ce_frozen,resnet18,"Baseline: no special preprocessing, no sampling, CE loss.",384,4,2,60,31,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,19,0.6059396944090645,1.0050290988152286,/kaggle/working/r1_best_resnet18.pth,True,none,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adamw,0.0001,0.001,0.9,False,0.5,3,1e-06,True,True,512,0.2,IMAGENET1K_V1,330,83,103,18.99499125878016,1.0050290988152286,0.6385542168674698,0.6059396944090645,0.6587120933989279,1.3200018539012055,0.4660194174757281,0.3444080499806158,0.5660742821170888,"[[23, 0, 4, 0, 0], [1, 2, 1, 0, 0], [7, 0, 16, 4, 0], [1, 0, 5, 6, 3], [2, 1, 1, 0, 6]]","[[24, 0, 8, 2, 0], [4, 0, 0, 1, 0], [10, 0, 15, 4, 3], [2, 0, 9, 5, 3], [0, 0, 7, 2, 4]]",0.6764705882352942,0.8518518518518519,0.7540983606557377,27.0,0.6666666666666666,0.5,0.5714285714285714,4.0,0.5925925925925926,0.5925925925925926,0.5925925925925926,27.0,0.6,0.4,0.48,15.0,0.6666666666666666,0.6,0.631578947368421,10.0,0.640479302832244,0.5888888888888889,0.6337113158516419,0.6385542168674698,0.6284597529771495,0.6,0.7058823529411765,0.6486486486486487,34.0,0.0,0.0,0.0,5.0,0.3846153846153846,0.46875,0.4225352112676056,32.0,0.3571428571428571,0.2631578947368421,0.303030303030303,19.0,0.4,0.3076923076923077,0.3478260869565217,13.0,0.3483516483516483,0.3490965110740652,0.4339165688680251,0.4660194174757281,0.445189278666291,,
R2,R2_resnet_none_weighted_ce_frozen,resnet18,Tests class-weighted loss without changing data sampling.,384,4,2,60,32,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,20,0.6294923719803179,1.0941542932786137,/kaggle/working/r2_best_resnet18.pth,True,none,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,weighted_cross_entropy,True,2.0,adamw,0.0001,0.001,0.9,False,0.5,3,1e-06,True,True,512,0.2,IMAGENET1K_V1,330,83,103,13.347956442832947,1.0941542932786137,0.6506024096385542,0.6294923719803179,0.6809344274414135,1.4271324763020266,0.4563106796116505,0.3471491228070175,0.5747479596735477,"[[23, 1, 3, 0, 0], [1, 3, 0, 0, 0], [7, 1, 15, 4, 0], [2, 0, 4, 7, 2], [1, 1, 2, 0, 6]]","[[24, 5, 4, 1, 0], [4, 0, 0, 1, 0], [11, 0, 14, 5, 2], [2, 0, 9, 5, 3], [1, 1, 5, 2, 4]]",0.6764705882352942,0.8518518518518519,0.7540983606557377,27.0,0.5,0.75,0.6,4.0,0.625,0.5555555555555556,0.5882352941176471,27.0,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0,0.75,0.6,0.6666666666666666,10.0,0.6375668449197861,0.6448148148148148,0.6528332581663553,0.6506024096385542,0.6432120291863992,0.5714285714285714,0.7058823529411765,0.631578947368421,34.0,0.0,0.0,0.0,5.0,0.4375,0.4375,0.4375,32.0,0.3571428571428571,0.2631578947368421,0.303030303030303,19.0,0.4444444444444444,0.3076923076923077,0.3636363636363636,13.0,0.3621031746031746,0.3428465110740653,0.4465248882724611,0.4563106796116505,0.4461993465570369,,
R3,R3_resnet_crop_graham_ce_frozen,resnet18,Tests Ben-Graham-style illumination correction.,384,4,2,60,20,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,8,0.4846576711644178,1.043183241982058,/kaggle/working/r3_best_resnet18.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adamw,0.0001,0.001,0.9,False,0.5,3,1e-06,True,True,512,0.2,IMAGENET1K_V1,330,83,103,59.95199236472448,1.043183241982058,0.6385542168674698,0.4846576711644178,0.79099302945148,1.288492010056394,0.4757281553398058,0.3658912324234905,0.6011819849195028,"[[22, 0, 5, 0, 0], [2, 0, 2, 0, 0], [3, 0, 19, 1, 4], [0, 0, 4, 7, 4], [0, 0, 1, 4, 5]]","[[20, 2, 11, 0, 1], [3, 0, 2, 0, 0], [4, 0, 19, 5, 4], [1, 1, 9, 5, 3], [0, 0, 5, 3, 5]]",0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,0.0,0.0,0.0,4.0,0.6129032258064516,0.7037037037037037,0.6551724137931034,27.0,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0,0.3846153846153846,0.5,0.4347826086956521,10.0,0.4791333517139969,0.497037037037037,0.6161992884690125,0.6385542168674698,0.62428022936323,0.7142857142857143,0.5882352941176471,0.6451612903225806,34.0,0.0,0.0,0.0,5.0,0.4130434782608695,0.59375,0.4871794871794871,32.0,0.3846153846153846,0.2631578947368421,0.3125,19.0,0.3846153846153846,0.3846153846153846,0.3846153846153846,13.0,0.3793119923554706,0.3659517146939747,0.4835999795898487,0.4757281553398058,0.4705119170942847,,
R4,R4_resnet_crop_circular_autocontrast_ce_frozen,resnet18,Tests circular masking plus autocontrast after ROI crop.,384,4,2,60,30,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,18,0.5380272085841167,1.1369429561029,/kaggle/working/r4_best_resnet18.pth,True,crop_circular_autocontrast,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adamw,0.0001,0.001,0.9,False,0.5,3,1e-06,True,True,512,0.2,IMAGENET1K_V1,330,83,103,59.80885451237361,1.1369429561029,0.5662650602409639,0.5380272085841167,0.621033168559677,1.364085613523872,0.4660194174757281,0.3259838500344829,0.507293163984259,"[[23, 0, 4, 0, 0], [1, 2, 1, 0, 0], [7, 2, 12, 6, 0], [2, 0, 7, 5, 1], [2, 0, 2, 1, 5]]","[[27, 0, 4, 2, 1], [2, 0, 3, 0, 0], [10, 1, 14, 7, 0], [3, 0, 8, 4, 4], [3, 0, 2, 5, 3]]",0.6571428571428571,0.8518518518518519,0.7419354838709677,27.0,0.5,0.5,0.5,4.0,0.4615384615384615,0.4444444444444444,0.4528301886792453,27.0,0.4166666666666667,0.3333333333333333,0.3703703703703703,15.0,0.8333333333333334,0.5,0.625,10.0,0.5737362637362637,0.5259259259259259,0.5637075775629993,0.5662650602409639,0.5549907074025459,0.6,0.7941176470588235,0.6835443037974683,34.0,0.0,0.0,0.0,5.0,0.4516129032258064,0.4375,0.4444444444444444,32.0,0.2222222222222222,0.2105263157894736,0.2162162162162162,19.0,0.375,0.2307692307692307,0.2857142857142857,13.0,0.3297670250896057,0.3345826387235056,0.4266877196645439,0.4660194174757281,0.439661382269223,,
R5,R5_resnet_crop_graham_oversample_ce_frozen,resnet18,Tests probabilistic oversampling of rare classes.,384,4,2,60,26,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,14,0.4992570941420046,1.034954843032791,/kaggle/working/r5_best_resnet18.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,weighted_oversample,True,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adamw,0.0001,0.001,0.9,False,0.5,3,1e-06,True,True,512,0.2,IMAGENET1K_V1,330,83,103,74.33644772370657,1.034954843032791,0.5903614457831325,0.4992570941420046,0.7812240476620328,1.3045317964646423,0.4271844660194174,0.3725371120107962,0.5754154184909235,"[[22, 1, 4, 0, 0], [1, 1, 0, 2, 0], [1, 1, 15, 5, 5], [0, 0, 4, 7, 4], [0, 0, 1, 5, 4]]","[[16, 5, 11, 2, 0], [2, 1, 2, 0, 0], [4, 1, 15, 7, 5], [1, 0, 6, 8, 4], [0, 0, 6, 3, 4]]",0.9166666666666666,0.8148148148148148,0.8627450980392157,27.0,0.3333333333333333,0.25,0.2857142857142857,4.0,0.625,0.5555555555555556,0.5882352941176471,27.0,0.3684210526315789,0.4666666666666667,0.4117647058823529,15.0,0.3076923076923077,0.4,0.3478260869565217,10.0,0.5102226720647772,0.4974074074074074,0.6212237614425312,0.5903614457831325,0.6020970986613609,0.6956521739130435,0.4705882352941176,0.5614035087719298,34.0,0.1428571428571428,0.2,0.1666666666666666,5.0,0.375,0.46875,0.4166666666666667,32.0,0.4,0.4210526315789473,0.4102564102564102,19.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,13.0,0.3842403248924987,0.3736166349130745,0.4656937827896038,0.4271844660194174,0.4373714345610104,,
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,resnet18,Tests mild medical-image-safe augmentation.,384,4,2,60,20,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,8,0.4967259443065895,1.2515882878418427,/kaggle/working/r6_best_resnet18.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,True,True,True,True,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adamw,0.0001,0.001,0.9,False,0.5,3,1e-06,True,True,512,0.2,IMAGENET1K_V1,330,83,103,57.989285031954445,1.2515882878418427,0.5662650602409639,0.4967259443065895,0.5574808397200933,1.4683791005495683,0.4077669902912621,0.3140120415982484,0.4659583510412241,"[[17, 3, 6, 0, 1], [0, 2, 1, 1, 0], [2, 0, 19, 5, 1], [1, 3, 4, 5, 2], [1, 0, 5, 0, 4]]","[[15, 4, 14, 0, 1], [2, 1, 2, 0, 0], [2, 2, 21, 4, 3], [0, 1, 10, 3, 5], [1, 1, 8, 1, 2]]",0.8095238095238095,0.6296296296296297,0.7083333333333334,27.0,0.25,0.5,0.3333333333333333,4.0,0.5428571428571428,0.7037037037037037,0.6129032258064516,27.0,0.4545454545454545,0.3333333333333333,0.3846153846153846,15.0,0.5,0.4,0.4444444444444444,10.0,0.5113852813852814,0.5133333333333334,0.5943670787044281,0.5662650602409639,0.5689204294431655,0.75,0.4411764705882353,0.5555555555555556,34.0,0.1111111111111111,0.2,0.1428571428571428,5.0,0.3818181818181818,0.65625,0.4827586206896552,32.0,0.375,0.1578947368421052,0.2222222222222222,19.0,0.1818181818181818,0.1538461538461538,0.1666666666666666,13.0,0.3599494949494949,0.3218334722552988,0.4637123663822693,0.4077669902912621,0.4023333917876937,,
R7,R7_resnet_crop_graham_ce_finetune,resnet18,Tests full fine-tuning instead of frozen backbone with a smaller LR.,384,4,2,60,54,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,42,0.6145262145262145,0.8128646612167358,/kaggle/working/r7_best_resnet18.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adamw,3e-05,0.0001,0.9,False,0.5,3,1e-06,False,True,512,0.2,IMAGENET1K_V1,330,83,103,155.61594638824462,0.8128646612167358,0.7108433734939759,0.6145262145262145,0.8383730756512474,1.34532917934714,0.5242718446601942,0.4121645404404025,0.5662644901821623,"[[23, 0, 3, 1, 0], [2, 1, 1, 0, 0], [2, 2, 20, 2, 1], [0, 0, 3, 8, 4], [0, 0, 1, 2, 7]]","[[21, 1, 11, 0, 1], [3, 0, 1, 0, 1], [4, 0, 18, 3, 7], [2, 0, 5, 10, 2], [1, 0, 3, 4, 5]]",0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,0.3333333333333333,0.25,0.2857142857142857,4.0,0.7142857142857143,0.7407407407407407,0.7272727272727273,27.0,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0,0.5833333333333334,0.7,0.6363636363636364,10.0,0.6196377696377697,0.6151851851851852,0.7070259058210866,0.7108433734939759,0.7074010327022374,0.6774193548387096,0.6176470588235294,0.6461538461538462,34.0,0.0,0.0,0.0,5.0,0.4736842105263157,0.5625,0.5142857142857142,32.0,0.5882352941176471,0.5263157894736842,0.5555555555555556,19.0,0.3125,0.3846153846153846,0.3448275862068966,13.0,0.4103677718965345,0.4182156465825196,0.5187293532970245,0.5242718446601942,0.5190746388603771,,
B0-1,B0_1_efficientnet_none_ce_frozen,efficientnet_b0,"Baseline: no special preprocessing, no sampling, CE loss.",384,8,2,60,24,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,12,0.553026973026973,1.1691942753562008,/kaggle/working/b0_1_best_efficientnet_b0.pth,True,none,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adam,0.001,0.001,0.9,False,0.5,3,1e-06,True,True,256,,EfficientNet_B0_Weights.IMAGENET1K_V1,330,83,103,13.999077494939169,1.1691942753562008,0.6265060240963856,0.553026973026973,0.7307846495863553,1.6176504614283738,0.4951456310679611,0.3565260447613389,0.4840098567521459,"[[22, 0, 5, 0, 0], [1, 1, 2, 0, 0], [3, 2, 16, 5, 1], [2, 0, 5, 5, 3], [1, 0, 0, 1, 8]]","[[21, 1, 12, 0, 0], [3, 0, 2, 0, 0], [5, 0, 21, 4, 2], [2, 0, 9, 7, 1], [3, 0, 5, 3, 2]]",0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0,0.3333333333333333,0.25,0.2857142857142857,4.0,0.5714285714285714,0.5925925925925926,0.5818181818181818,27.0,0.4545454545454545,0.3333333333333333,0.3846153846153846,15.0,0.6666666666666666,0.8,0.7272727272727273,10.0,0.5569189431258396,0.5581481481481482,0.6111989381619626,0.6265060240963856,0.6157613470866482,0.6176470588235294,0.6176470588235294,0.6176470588235294,34.0,0.0,0.0,0.0,5.0,0.4285714285714285,0.65625,0.5185185185185185,32.0,0.5,0.3684210526315789,0.4242424242424242,19.0,0.4,0.1538461538461538,0.2222222222222222,13.0,0.3892436974789916,0.3592328530602525,0.479750346740638,0.4951456310679611,0.4712824033212383,rounded_prior_efficientnet_b0_optuna,0.2
B0-2,B0_2_efficientnet_none_weighted_ce_frozen,efficientnet_b0,Tests class-weighted loss without changing data sampling.,384,8,2,60,41,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,29,0.5582458770614692,1.4145588982536133,/kaggle/working/b0_2_best_efficientnet_b0.pth,True,none,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,weighted_cross_entropy,True,2.0,adam,0.001,0.001,0.9,False,0.5,3,1e-06,True,True,256,,EfficientNet_B0_Weights.IMAGENET1K_V1,330,83,103,22.642441181341805,1.4145588982536133,0.6265060240963856,0.5582458770614692,0.755742176284812,2.519274341249929,0.4757281553398058,0.3115151515151514,0.5315240608116598,"[[22, 1, 4, 0, 0], [0, 1, 3, 0, 0], [8, 2, 15, 2, 0], [0, 0, 6, 5, 4], [1, 0, 0, 0, 9]]","[[24, 2, 8, 0, 0], [3, 0, 2, 0, 0], [6, 0, 20, 3, 3], [2, 0, 8, 4, 5], [3, 0, 5, 4, 1]]",0.7096774193548387,0.8148148148148148,0.7586206896551724,27.0,0.25,0.25,0.25,4.0,0.5357142857142857,0.5555555555555556,0.5454545454545454,27.0,0.7142857142857143,0.3333333333333333,0.4545454545454545,15.0,0.6923076923076923,0.9,0.782608695652174,10.0,0.5803970223325063,0.5707407407407408,0.6296739599304699,0.6265060240963856,0.6127024111164572,0.631578947368421,0.7058823529411765,0.6666666666666666,34.0,0.0,0.0,0.0,5.0,0.4651162790697674,0.625,0.5333333333333333,32.0,0.3636363636363636,0.2105263157894736,0.2666666666666666,19.0,0.1111111111111111,0.0769230769230769,0.0909090909090909,13.0,0.3142885402371326,0.3236663491307454,0.4340868009154778,0.4757281553398058,0.4464254192409532,rounded_prior_efficientnet_b0_optuna,0.2
