run_id,stage,model_id,model,preprocessing_mode,best_model_path,best_epoch,epochs_ran,elapsed_minutes,selection_metric,best_selection_score,image_size,batch_size,seed,val_size,optimizer_name,learning_rate,weight_decay,loss_name,use_augmentation,use_frozen_backbone,custom_head_hidden_dim,model_dropout,train_samples,val_samples,test_samples,val_loss,val_accuracy,val_macro_f1,val_kappa,test_loss,test_accuracy,test_macro_f1,test_kappa,baseline_val_macro_f1,baseline_test_macro_f1,baseline_test_kappa,delta_val_macro_f1_vs_baseline,delta_test_macro_f1_vs_baseline,delta_test_kappa_vs_baseline,val_confusion_matrix_json,test_confusion_matrix_json,report_note,val_precision_class_0,val_recall_class_0,val_f1_class_0,val_support_class_0,val_precision_class_1,val_recall_class_1,val_f1_class_1,val_support_class_1,val_precision_class_2,val_recall_class_2,val_f1_class_2,val_support_class_2,val_precision_class_3,val_recall_class_3,val_f1_class_3,val_support_class_3,val_precision_class_4,val_recall_class_4,val_f1_class_4,val_support_class_4,val_weighted_f1,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_precision_class_2,test_recall_class_2,test_f1_class_2,test_support_class_2,test_precision_class_3,test_recall_class_3,test_f1_class_3,test_support_class_3,test_precision_class_4,test_recall_class_4,test_f1_class_4,test_support_class_4,test_weighted_f1
screen_B2-4_none,screen,B2-4,efficientnet_b2,none,/kaggle/working/screen_b2-4_none_best_efficientnet_b2.pth,4,10,10.10800884962082,macro_f1,0.5767295172345012,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.8989729371415563,0.7108433734939759,0.5767295172345012,0.8106103822019395,,,,,0.57673,0.515671,0.600727,,,,"[[24, 2, 1, 0, 0], [3, 0, 0, 0, 1], [4, 1, 16, 5, 1], [1, 0, 0, 13, 1], [0, 0, 2, 2, 6]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.75,0.8888888888888888,0.8135593220338984,27.0,0.0,0.0,0.0,4.0,0.8421052631578947,0.5925925925925926,0.6956521739130435,27.0,0.65,0.8666666666666667,0.7428571428571429,15.0,0.6666666666666666,0.6,0.631578947368421,10.0,0.7012934579169732,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_gamma_correction,screen,B2-4,efficientnet_b2,gamma_correction,/kaggle/working/screen_b2-4_gamma_correction_best_efficientnet_b2.pth,5,11,12.05226602156957,macro_f1,0.6361629881154499,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.9041560694395777,0.7590361445783133,0.6361629881154499,0.8321508140531277,,,,,0.57673,0.515671,0.600727,,,,"[[27, 0, 0, 0, 0], [4, 0, 0, 0, 0], [7, 2, 15, 3, 0], [0, 0, 1, 13, 1], [1, 0, 1, 0, 8]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.6923076923076923,1.0,0.8181818181818182,27.0,0.0,0.0,0.0,4.0,0.8823529411764706,0.5555555555555556,0.6818181818181818,27.0,0.8125,0.8666666666666667,0.8387096774193549,15.0,0.8888888888888888,0.8,0.8421052631578947,10.0,0.7409843107574611,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_gray_gamma_clahe,screen,B2-4,efficientnet_b2,gray_gamma_clahe,/kaggle/working/screen_b2-4_gray_gamma_clahe_best_efficientnet_b2.pth,13,19,29.517304571469626,macro_f1,0.6397381902466648,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.9782809331474533,0.7108433734939759,0.6397381902466648,0.8055049283987353,,,,,0.57673,0.515671,0.600727,,,,"[[24, 0, 2, 0, 1], [0, 1, 3, 0, 0], [3, 0, 19, 4, 1], [0, 0, 6, 7, 2], [0, 0, 2, 0, 8]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0,1.0,0.25,0.4,4.0,0.59375,0.7037037037037037,0.6440677966101694,27.0,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0,0.6666666666666666,0.8,0.7272727272727273,10.0,0.7028853115436737,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_green_histmatch_median_clahe_unsharp_crop,screen,B2-4,efficientnet_b2,green_histmatch_median_clahe_unsharp_crop,/kaggle/working/screen_b2-4_green_histmatch_median_clahe_unsharp_crop_best_efficientnet_b2.pth,4,10,28.277480336030326,macro_f1,0.5654791243600613,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.9183302571974605,0.7228915662650602,0.5654791243600613,0.8371645382195076,,,,,0.57673,0.515671,0.600727,,,,"[[24, 0, 3, 0, 0], [3, 0, 1, 0, 0], [4, 0, 19, 3, 1], [0, 0, 1, 12, 2], [0, 0, 2, 3, 5]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0,0.0,0.0,0.0,4.0,0.7307692307692307,0.7037037037037037,0.7169811320754716,27.0,0.6666666666666666,0.8,0.7272727272727273,15.0,0.625,0.5,0.5555555555555556,10.0,0.7008188508059169,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_green_clahe_bgsub_mask,screen,B2-4,efficientnet_b2,green_clahe_bgsub_mask,/kaggle/working/screen_b2-4_green_clahe_bgsub_mask_best_efficientnet_b2.pth,6,12,31.918462733427685,macro_f1,0.6151515151515152,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.8568663306264992,0.7228915662650602,0.6151515151515152,0.8357263665479147,,,,,0.57673,0.515671,0.600727,,,,"[[25, 0, 2, 0, 0], [1, 1, 1, 0, 1], [2, 2, 20, 2, 1], [0, 0, 3, 7, 5], [0, 0, 3, 0, 7]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.8928571428571429,0.9259259259259259,0.9090909090909091,27.0,0.3333333333333333,0.25,0.2857142857142857,4.0,0.6896551724137931,0.7407407407407407,0.7142857142857143,27.0,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0,0.5,0.7,0.5833333333333334,10.0,0.7175585458717989,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_clean_green_masked,screen,B2-4,efficientnet_b2,clean_green_masked,/kaggle/working/screen_b2-4_clean_green_masked_best_efficientnet_b2.pth,10,16,71.30508285363516,macro_f1,0.5880508714820571,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,1.1180887502360057,0.6626506024096386,0.5880508714820571,0.7414162393717141,,,,,0.57673,0.515671,0.600727,,,,"[[24, 0, 1, 1, 1], [3, 1, 0, 0, 0], [6, 1, 13, 4, 3], [0, 0, 2, 9, 4], [1, 0, 0, 1, 8]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.7058823529411765,0.8888888888888888,0.7868852459016393,27.0,0.5,0.25,0.3333333333333333,4.0,0.8125,0.48148148148148145,0.6046511627906976,27.0,0.6,0.6,0.6,15.0,0.5,0.8,0.6153846153846154,10.0,0.6513091870105131,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_white_balance,screen,B2-4,efficientnet_b2,white_balance,/kaggle/working/screen_b2-4_white_balance_best_efficientnet_b2.pth,7,13,31.568137764930725,macro_f1,0.571279178338002,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,1.0369979337037327,0.6385542168674698,0.571279178338002,0.6669317812081992,,,,,0.57673,0.515671,0.600727,,,,"[[24, 0, 2, 1, 0], [1, 1, 1, 0, 1], [5, 0, 14, 7, 1], [1, 0, 4, 9, 1], [2, 0, 1, 2, 5]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.7272727272727273,0.8888888888888888,0.8,27.0,1.0,0.25,0.4,4.0,0.6363636363636364,0.5185185185185185,0.5714285714285714,27.0,0.47368421052631576,0.6,0.5294117647058824,15.0,0.625,0.5,0.5555555555555556,10.0,0.6280157042736774,,,,,,,,,,,,,,,,,,,,,
screen_B2-4_white_balance_clahe,screen,B2-4,efficientnet_b2,white_balance_clahe,/kaggle/working/screen_b2-4_white_balance_clahe_best_efficientnet_b2.pth,3,9,29.62559554576874,macro_f1,0.5457334959502141,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,1.179637369621231,0.6265060240963856,0.5457334959502141,0.7089576028052279,,,,,0.57673,0.515671,0.600727,,,,"[[24, 1, 2, 0, 0], [1, 1, 1, 1, 0], [5, 2, 12, 7, 1], [1, 1, 2, 9, 2], [2, 0, 0, 2, 6]]",,"Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.7272727272727273,0.8888888888888888,0.8,27.0,0.2,0.25,0.2222222222222222,4.0,0.7058823529411765,0.4444444444444444,0.5454545454545454,27.0,0.47368421052631576,0.6,0.5294117647058824,15.0,0.6666666666666666,0.6,0.631578947368421,10.0,0.6201581633787235,,,,,,,,,,,,,,,,,,,,,
confirm_B2-4_gray_gamma_clahe,confirm,B2-4,efficientnet_b2,gray_gamma_clahe,/kaggle/working/confirm_b2-4_gray_gamma_clahe_best_efficientnet_b2.pth,7,19,30.362162415186564,macro_f1,0.5918407128933445,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.8705159784799599,0.6867469879518072,0.5918407128933445,0.8091549046658884,1.44056623971578,0.5533980582524272,0.5272801272801273,0.6169020715630885,0.57673,0.515671,0.600727,0.015110712893344536,0.011609127280127307,0.016175071563088506,"[[25, 0, 1, 0, 1], [2, 1, 1, 0, 0], [3, 2, 17, 2, 3], [0, 0, 7, 6, 2], [0, 0, 1, 1, 8]]","[[24, 3, 6, 0, 1], [2, 3, 0, 0, 0], [6, 0, 17, 6, 3], [2, 0, 8, 6, 3], [2, 0, 2, 2, 7]]","Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.8333333333333334,0.9259259259259259,0.8771929824561403,27.0,0.3333333333333333,0.25,0.2857142857142857,4.0,0.6296296296296297,0.6296296296296297,0.6296296296296297,27.0,0.6666666666666666,0.4,0.5,15.0,0.5714285714285714,0.8,0.6666666666666666,10.0,0.6746233052510795,0.6666666666666666,0.7058823529411765,0.6857142857142857,34.0,0.5,0.6,0.5454545454545454,5.0,0.5151515151515151,0.53125,0.5230769230769231,32.0,0.42857142857142855,0.3157894736842105,0.36363636363636365,19.0,0.5,0.5384615384615384,0.5185185185185185,13.0,0.5478626371830255
confirm_B2-4_gamma_correction,confirm,B2-4,efficientnet_b2,gamma_correction,/kaggle/working/confirm_b2-4_gamma_correction_best_efficientnet_b2.pth,5,17,18.882759698232015,macro_f1,0.6361629881154499,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,False,False,256,0.2,330,83,103,0.9041520112968353,0.7590361445783133,0.6361629881154499,0.8321508140531277,1.2959023893458173,0.5825242718446602,0.44523281596452324,0.6475438072709736,0.57673,0.515671,0.600727,0.05943298811544995,-0.07043818403547675,0.04681680727097359,"[[27, 0, 0, 0, 0], [4, 0, 0, 0, 0], [7, 2, 15, 3, 0], [0, 0, 1, 13, 1], [1, 0, 1, 0, 8]]","[[30, 2, 2, 0, 0], [5, 0, 0, 0, 0], [8, 1, 14, 6, 3], [2, 0, 5, 12, 0], [3, 0, 2, 4, 4]]","Original B2-4 configuration: CE, no augmentation, full fine-tuning.",0.6923076923076923,1.0,0.8181818181818182,27.0,0.0,0.0,0.0,4.0,0.8823529411764706,0.5555555555555556,0.6818181818181818,27.0,0.8125,0.8666666666666667,0.8387096774193549,15.0,0.8888888888888888,0.8,0.8421052631578947,10.0,0.7409843107574611,0.625,0.8823529411764706,0.7317073170731707,34.0,0.0,0.0,0.0,5.0,0.6086956521739131,0.4375,0.509090909090909,32.0,0.5454545454545454,0.631578947368421,0.5853658536585366,19.0,0.5714285714285714,0.3076923076923077,0.4,13.0,0.5581641659311563
confirm_B2-5_gray_gamma_clahe,confirm,B2-5,efficientnet_b2,gray_gamma_clahe,/kaggle/working/confirm_b2-5_gray_gamma_clahe_best_efficientnet_b2.pth,9,21,33.80725725094477,macro_f1,0.5774970760233917,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,True,False,256,0.2,330,83,103,0.9309269753565271,0.6626506024096386,0.5774970760233917,0.7959398707502108,1.2318014190034958,0.5339805825242718,0.41495505642550956,0.5939750827331127,0.657509,0.497557,0.692956,-0.08001192397660828,-0.08260194357449047,-0.09898091726688729,"[[22, 3, 2, 0, 0], [2, 1, 1, 0, 0], [5, 1, 17, 2, 2], [0, 0, 4, 7, 4], [1, 0, 0, 1, 8]]","[[24, 5, 4, 1, 0], [3, 0, 1, 1, 0], [5, 3, 19, 2, 3], [2, 0, 6, 8, 3], [3, 0, 2, 4, 4]]","Original B2-5 configuration: CE, mild augmentation, full fine-tuning.",0.7333333333333333,0.8148148148148148,0.7719298245614035,27.0,0.2,0.25,0.2222222222222222,4.0,0.7083333333333334,0.6296296296296297,0.6666666666666666,27.0,0.7,0.4666666666666667,0.56,15.0,0.5714285714285714,0.8,0.6666666666666666,10.0,0.6602127809483548,0.6486486486486487,0.7058823529411765,0.676056338028169,34.0,0.0,0.0,0.0,5.0,0.59375,0.59375,0.59375,32.0,0.5,0.42105263157894735,0.45714285714285713,19.0,0.4,0.3076923076923077,0.34782608695652173,13.0,0.5358579505738525
confirm_B2-5_gamma_correction,confirm,B2-5,efficientnet_b2,gamma_correction,/kaggle/working/confirm_b2-5_gamma_correction_best_efficientnet_b2.pth,7,19,19.72959900299708,macro_f1,0.5690750981073561,384,4,42,0.2,adam,5e-05,0.0001,cross_entropy,True,False,256,0.2,330,83,103,1.0046778400260281,0.6506024096385542,0.5690750981073561,0.723703450206888,1.2826950509571335,0.5339805825242718,0.4438846153846153,0.6796395246829892,0.657509,0.497557,0.692956,-0.08843390189264388,-0.053672384615384705,-0.013316475317010856,"[[26, 0, 0, 0, 1], [3, 1, 0, 0, 0], [8, 1, 10, 5, 3], [0, 0, 0, 10, 5], [2, 0, 0, 1, 7]]","[[28, 3, 2, 0, 1], [4, 1, 0, 0, 0], [6, 2, 11, 5, 8], [2, 0, 1, 7, 9], [1, 1, 2, 1, 8]]","Original B2-5 configuration: CE, mild augmentation, full fine-tuning.",0.6666666666666666,0.9629629629629629,0.7878787878787878,27.0,0.5,0.25,0.3333333333333333,4.0,1.0,0.37037037037037035,0.5405405405405406,27.0,0.625,0.6666666666666666,0.6451612903225806,15.0,0.4375,0.7,0.5384615384615384,10.0,0.629670963133847,0.6829268292682927,0.8235294117647058,0.7466666666666667,34.0,0.14285714285714285,0.2,0.16666666666666666,5.0,0.6875,0.34375,0.4583333333333333,32.0,0.5384615384615384,0.3684210526315789,0.4375,19.0,0.3076923076923077,0.6153846153846154,0.41025641025641024,13.0,0.5294417475728155
confirm_B2-6_gray_gamma_clahe,confirm,B2-6,efficientnet_b2,gray_gamma_clahe,/kaggle/working/confirm_b2-6_gray_gamma_clahe_best_efficientnet_b2.pth,12,24,38.08144205013911,macro_f1,0.5990338164251208,384,4,42,0.2,adam,5e-05,0.0001,weighted_cross_entropy,False,False,256,0.2,330,83,103,1.018937885761261,0.6506024096385542,0.5990338164251208,0.7694049048190705,1.5202521635490713,0.5436893203883495,0.49839402427637725,0.6966709346991037,0.62905,0.48765,0.646306,-0.03001618357487923,0.010744024276377273,0.050364934699103636,"[[25, 1, 1, 0, 0], [1, 2, 0, 1, 0], [5, 2, 12, 5, 3], [2, 0, 4, 7, 2], [0, 0, 2, 0, 8]]","[[26, 2, 5, 0, 1], [2, 2, 0, 1, 0], [8, 0, 12, 7, 5], [2, 1, 7, 5, 4], [0, 0, 0, 2, 11]]","Original B2-6 configuration: weighted CE, no augmentation, full fine-tuning.",0.7575757575757576,0.9259259259259259,0.8333333333333334,27.0,0.4,0.5,0.4444444444444444,4.0,0.631578947368421,0.4444444444444444,0.5217391304347826,27.0,0.5384615384615384,0.4666666666666667,0.5,15.0,0.6153846153846154,0.8,0.6956521739130435,10.0,0.6364006751644259,0.6842105263157895,0.7647058823529411,0.7222222222222222,34.0,0.4,0.4,0.4,5.0,0.5,0.375,0.42857142857142855,32.0,0.3333333333333333,0.2631578947368421,0.29411764705882354,19.0,0.5238095238095238,0.8461538461538461,0.6470588235294118,13.0,0.5268916628139929
confirm_B2-6_gamma_correction,confirm,B2-6,efficientnet_b2,gamma_correction,/kaggle/working/confirm_b2-6_gamma_correction_best_efficientnet_b2.pth,9,21,23.276363376776377,macro_f1,0.6136741041244085,384,4,42,0.2,adam,5e-05,0.0001,weighted_cross_entropy,False,False,256,0.2,330,83,103,0.9089518038623304,0.6746987951807228,0.6136741041244085,0.8072400191690936,1.3053933034822778,0.4854368932038835,0.4429319924691188,0.6295635074646174,0.62905,0.48765,0.646306,-0.015375895875591516,-0.044718007530881176,-0.016742492535382625,"[[24, 2, 1, 0, 0], [2, 2, 0, 0, 0], [4, 3, 16, 4, 0], [0, 1, 6, 6, 2], [1, 0, 1, 0, 8]]","[[17, 8, 8, 0, 1], [3, 1, 1, 0, 0], [6, 2, 17, 4, 3], [1, 1, 9, 8, 0], [0, 0, 3, 3, 7]]","Original B2-6 configuration: weighted CE, no augmentation, full fine-tuning.",0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0,0.25,0.5,0.3333333333333333,4.0,0.6666666666666666,0.5925925925925926,0.6274509803921569,27.0,0.6,0.4,0.48,15.0,0.8,0.8,0.8,10.0,0.6725221372304635,0.6296296296296297,0.5,0.5573770491803278,34.0,0.08333333333333333,0.2,0.11764705882352941,5.0,0.4473684210526316,0.53125,0.4857142857142857,32.0,0.5333333333333333,0.42105263157894735,0.47058823529411764,19.0,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0,0.5010332224565778
